case_i_id,case_j_id,country_i,country_j,article_cohort,log_fine_i,log_fine_j,fine_eur_i,fine_eur_j,delta_log_fine,delta_fine_eur,distance,defendant_class_match,enterprise_size_match,year_diff
Italy_234,Croatia_1,IT,HR,5;32,10.147258129144577,11.52288569676448,25520.03081664098,101000.0,1.3756275676199028,75479.96918335902,0.5825256716682585,True,True,1
Italy_251,Croatia_2,IT,HR,5;32,10.106437767263415,11.52288569676448,24499.229583975342,101000.0,1.4164479295010644,76500.77041602466,0.5825256716682585,True,True,1
Finland_92,Italy_251,FI,IT,5;32,13.910821646859096,10.106437767263415,1100000.0,24499.229583975342,3.8043838795956813,1075500.7704160246,0.5825256716682585,True,True,1
Denmark_146,Spain_461,DK,ES,5;32,11.496671485151234,8.932269110229447,98386.74033149172,7571.428571428572,2.5644023749217872,90815.31176006315,0.5825256716682585,True,True,1
Cyprus_28,Iceland_42,CY,IS,5;32,10.762361566987884,10.246534615306503,47209.02612826604,28183.701657458565,0.5158269516813814,19025.324470807478,1.471362517422258,False,False,2
Croatia_1,Spain_495,HR,ES,5;32,11.52288569676448,11.27131417632703,101000.0,78535.13971210839,0.2515715204374498,22464.860287891614,2.7133925618301684,False,False,3
Croatia_2,Iceland_3,HR,IS,5;32,11.52288569676448,9.319754090867976,101000.0,11155.238095238095,2.2031316058965036,89844.76190476191,3.4313991087932076,True,True,5
Ireland_6,Greece_85,IE,GR,5;32;33,11.388884136990889,12.321128024346978,88333.33333333333,224386.11346316684,0.9322438873560888,136052.7801298335,3.4641016149068147,False,True,2
Greece_85,Ireland_6,GR,IE,5;32;33,12.321128024346978,11.388884136990889,224386.11346316684,88333.33333333333,0.9322438873560888,136052.7801298335,3.4641016149068147,False,True,2
Italy_315,Greece_78,IT,GR,5;33,11.289794413577894,11.050038343940328,80000.0,62945.36817102138,0.23975606963756668,17054.63182897862,1.9999999998,True,True,2
Greece_78,Italy_315,GR,IT,5;33,11.050038343940328,11.289794413577894,62945.36817102138,80000.0,0.23975606963756668,17054.63182897862,1.9999999998,True,True,2
Spain_549,Latvia_10,ES,LV,5;6,8.493165762698549,9.884772272897877,4880.294659300184,19628.17527519052,1.3916065101993276,14747.880615890335,1.0949998478913818,True,False,1
Slovenia_58,Estonia_19,SI,EE,5;6,6.26443531468338,3.938787509910169,524.5447347585115,50.3562945368171,2.3256478047732116,474.18844022169435,0.0,True,True,0
Iceland_82,Cyprus_27,IS,IE,5;6,12.491602441351672,11.0901373532645,266092.3434283452,65520.74513124472,1.4014650880871713,200571.5982971005,1.0949998478913816,True,False,1
Iceland_95,Germany_32,IS,DE,5;6,10.87270741111566,13.758073717495217,52716.745843230405,944180.5225653208,2.885366306379556,891463.7767220904,0.0,True,True,0
Hungary_11,Latvia_14,HU,LV,5;6,6.984650180364942,11.314777035654211,1078.928571428571,82023.80952380953,4.3301268552892695,80944.88095238096,0.0,True,True,0
Greece_32,Belgium_45,GR,BE,5;6,7.800223424839554,11.052416428610046,2440.147329650092,63095.23809523809,3.2521930037704925,60655.090765588,0.6508109058467539,True,True,1
Germany_32,Iceland_95,DE,IS,5;6,13.758073717495217,10.87270741111566,944180.5225653208,52716.745843230405,2.885366306379556,891463.7767220904,0.0,True,True,0
Germany_37,Spain_549,DE,ES,5;6,16.38993873557774,8.493165762698549,13123809.523809524,4880.294659300184,7.896772972879191,13118929.229150224,1.094999847891382,True,False,1
Finland_30,Italy_20,FI,IT,5;6,10.325575126145027,7.838692295454701,30501.84162062616,2535.885167464115,2.486882830690327,27965.956453162045,1.3016218116935079,True,True,2
Latvia_10,Germany_37,LV,DE,5;6,9.884772272897877,16.38993873557774,19628.17527519052,13123809.523809524,6.505166462679863,13104181.348534334,1.3016218116935079,True,True,2
Latvia_14,Hungary_11,LV,HU,5;6,11.314777035654211,6.984650180364942,82023.80952380953,1078.928571428571,4.3301268552892695,80944.88095238096,0.0,True,True,0
Italy_13,Belgium_17,IT,BE,5;6,8.23925397898068,8.754746488847713,3785.714285714286,6339.712918660287,0.515492509867034,2553.998632946001,0.6508109058467539,True,True,1
Italy_18,Finland_30,IT,FI,5;6,8.526870028956498,10.325575126145027,5047.619047619048,30501.84162062616,1.7987050971885292,25454.222573007115,1.635979339161113,True,True,1
Italy_20,Slovenia_58,IT,SI,5;6,7.838692295454701,6.26443531468338,2535.885167464115,524.5447347585115,1.5742569807713203,2011.3404327056037,3.004954396608727,True,True,4
